Headline (CID),Date_Posted,Post_Text,Source_URI,Author_DID
bafyreifftzskqs63qpodyrgwl6xgxbawytmncplzbz6k5xbcr7xfgpmt6e,2026-03-01,Thompson and Fox just shredding the left side defense #USWNT,https://bsky.app/profile/tazary.bsky.social/post/3mfzx4cqro22v,did:plc:yiiwnahsjcvxfbnd4b75kobj
bafyreiezuzfsh65ud5dnvojg4oxeeb2rbgy4pvbkaqcrwblgnfuvngxkpy,2026-03-01,They can put pressure on colleagues like the voters have done.  We got the Epstein files released. We can do more.,https://bsky.app/profile/mfbrodie.bsky.social/post/3mfzx4cqlsk23,did:plc:tjcikjjf2ltttc5mx6dg36ke
bafyreih4vapybnaf2ezdt4aexbareqbzajnfvspuojf7zeedqjhj3znpey,2026-03-01,😢,https://bsky.app/profile/fr33d0mnow.bsky.social/post/3mfzx4cozys2d,did:plc:55bsaep2gp3tl2y2go7mbcix
bafyreigya5gwx6ljflsvfvcmqp5vz7tzsnwmapo2f4yqlfiarbt4toc44u,2026-03-01,"@thebulwark.com   ""That often happens in war."" -Donald Trump  Not to you, Trump!",https://bsky.app/profile/usmarinevet.bsky.social/post/3mfzx4cjm6c2o,did:plc:ozzhs6i6od3xsbuwubsp7bh7
bafyreihoyrvdz7jzj2t7hoirnmevtgiej4lgmieulmnbo7dlojevnlsgxy,2026-03-01,It can be over in an instant or it can seem to last forever It can vanish in a blink or it can stretch on endlessly,https://bsky.app/profile/suddenflash.bsky.social/post/3mfzx4cj2ls2b,did:plc:bmsypi7j7sjmnzkl6amflnmh
bafyreihstnmyptgrubhlbccrjbwaxgnu6xgp6laaydhfmsemanvx2ie62a,2026-03-01,“Warmest condolences.”,https://bsky.app/profile/unhipcat.bsky.social/post/3mfzx4cinvk2o,did:plc:sac3clpfpiv4ctkhjckwhham
bafyreig7ll3aa35354ou2gp7vfc76oubv5cp6ko5o5vmgq6b2jdyqcovji,2026-03-01,Happy Women’s Her-story month.  Good luck with the class.,https://bsky.app/profile/lois62.bsky.social/post/3mfzx4cgiks23,did:plc:5u2v5oh4au72t3zq47xmyzet
bafyreih25smwyzadtgcjis7l5so6vce56dxqzpj3q3r45ljrgocw5rmaai,2026-03-01,Last night I ate something after midnight. I’m mogwaing. I’m gremlinsmaxxing,https://bsky.app/profile/tristanbuckner.bsky.social/post/3mfzx4cfn7s2d,did:plc:n5uacgibitgyqet76u3fdjgt
bafyreidqjvlpyo7lf4f5si6jx6auqrghl7otfb6kdzetlx2t2mkii4bbbi,2026-03-01,"Was going for either 30% Meowth or 20% Growlithe & my 1st 8 phases were nothing but Ekans & Pidgey dupes. Started a little after Christmas 2025 & only today on the final hour of St. David's Day is it over!  Part of me's a little sad it came before 100K, but also IT'S OVER IT'S OVER IT'S OVER",https://bsky.app/profile/crashandcortex.bsky.social/post/3mfzx4c7prc2w,did:plc:je7nqyw7gs3pvkb6yipkerht
bafyreih2msynl5a4g5eujaaskj4ootmb7gjcwvojtpmod422tzy3ku2yja,2026-03-01,,https://bsky.app/profile/sunnybasil.bsky.social/post/3mfzx4c7jvs2e,did:plc:wor5wrgqx5zxc4fitzenjr7a
bafyreifrv2jtgozprelxbnsg3uheroa573jmzker6tzd3wbgg23b2e55la,2026-03-01,Sephiroth's new outfit 🤤🤤🤤,https://bsky.app/profile/sakky.bsky.social/post/3mfzx4c5gjk2f,did:plc:t57o5t3ax2ltrcrij5n6bs2g
bafyreihfdxmborxzn4x2pr5n6vxe3y5p73dbt7rseruvcexvfnqdqf4sya,2026-03-01,"I had it set aside for a different video and then was like: bingo!! That'll make the outfit so much more bratty!! I've played the ""good girl"" too many times🤣 the front of the thong says ""baby"" in blackletter too😆",https://bsky.app/profile/harmonycorrupted.bsky.social/post/3mfzx4byr4c2z,did:plc:2toui2y4jkruj6cfsggq7fjb
bafyreiefaie4rhplphofx5efvbb2xtroplqehmpakwcwi7bta4fwx6as24,2026-03-01,"people in fetish places put ""if you found me no you didnt"" in their bio like anyone will ever find them",https://bsky.app/profile/starvingstarlight.bsky.social/post/3mfzx4bxzoc2b,did:plc:xzuey5devtoqinz6mn36wgq3
bafyreihs4exahtx6lz4prhopv5tn3sainwpatczsic3nlt5spxnh3enb5q,2026-03-01,downright Machiavellian,https://bsky.app/profile/vurrence.bsky.social/post/3mfzx4bxqv22y,did:plc:m7txyf6tqj7yxjdqhycapciy
bafyreicotnufegfq7lxwoia2jf45xaaomx4lwci3m6qkzpsbx32dbjgjxi,2026-03-01,"blame also the joint chiefs of staff who accept illegal orders and orders the troops to follow their orders to commit illegal and unconstitutional acts of war. 6 democrats tried to remember them, but these service people decided to follow illegal orders. i feel no empathy.",https://bsky.app/profile/manuele.bsky.social/post/3mfzx4btsvs2a,did:plc:h74mpjrdr5ltve5o3un5lbwf
