Headline (CID),Date_Posted,Post_Text,Source_URI,Author_DID
bafyreidcedjlg5llxlgyj3kdcjzqun3msbztzzseep5hgpvc7pa33dfuge,2026-05-16T21:44:53.797Z,Norway was definitely up there,N/A,did:plc:c35u6szkuzpgltgpenxsbo3h
bafyreifd63mwf2pwr6w7ixvhjvb3uwd4kq5ersbkrtdqdgxjitkhnimlyi,2026-05-16T21:44:54.203Z,That’s amazing!,N/A,did:plc:tf7gad6h5xalbu75x3akxckn
bafyreicfywr2vj2pscrdrt36gqgv2txzvqsjbv4nueelbwyebzvqcoahya,2026-05-16T21:44:54.690Z,It's only gotten worse since they lost funding.,N/A,did:plc:iwtjeb6u5thhmbxlxnxr5uva
bafyreibtlatvjd4ymp4nisxypdt6majajrgsbzvtpy7qpocqutko4fekqq,2026-05-16T21:44:53.901Z,😂,N/A,did:plc:rwwzozm4e7yrijf4jmwmheog
bafyreif3r2zsguj2kzel5qfq3egzonafpk33c46efr4kf2efg445cmrb5i,2026-05-16T21:44:53.954Z,Idk this might be the results of getting his head kicked in lmao,N/A,did:plc:almysdpdom53dehrsmk4vblq
bafyreib43wzn5ahzfft2uiignxkazneik6bhvnkeuicmdvdt3dvjlbb5iu,2026-05-16T21:44:51.031Z,Gas prices are up another ¢.07😑,N/A,did:plc:vb7r3dtx46i63wgyk5jf4yvi
bafyreid7sihux2qiraf2pnhl7v3ffm3xazcjc22tcencuiwnidt3a3zvoq,2026-05-16T21:44:53.573Z,nvm it took like 10 minutes lmfaooo,N/A,did:plc:caho5up6ov6fspiavsvnnpdi
bafyreihw7ulwo7k3scqbngbs63s7wb2th24jfbtmfj46g3labynxyngkbm,2026-05-16T21:44:30.551Z,例のシーンの真実 #丹星 #danstelle,N/A,did:plc:orzcgbnm6sa5isl4wphs3mhr
bafyreiawlkkbgqbfomeeq6dhgd27vpoylsqwt7dgxpfz2hyhcffuzqyhwm,2026-05-16T21:44:40.487Z,Hey Hey 🌟 La suite des sticker Digital Circus ! Je me suis vraiment appliqué sur celui de Disapearing Guy :) Dites-moi c'est qui votre personnage préféré ?,N/A,did:plc:tc7hyy5oyunsu7pqbfdlevg3
bafyreiapfdhffacdqufqr3nmlndcn3twhdm4ys23i5db3mregepm3x6bxy,2026-05-16T21:44:54.001Z,"Oh, you know— (EAGLE SCREECH)",N/A,did:plc:tcg6i75wwh5kodanjkoztw4w
bafyreifixzsrxdwst6lq7acsp6qxoaf2chomo5wwrmgayodhl5sqyjl344,2026-05-16T21:44:54.485Z,"i spent about 2hrs making 5 unique kandi bracelet singles for my friends and bae who are throwing this rave 🩷💜🩷 my hands and fingers were really tryna crap out on that last one, but i persevered ☁️ and i'm doing okay now 💜",N/A,did:plc:abug3v6yxjeaw7mi3rlc3uk7
bafyreibk532r7vln2k34fgnjwxjyf3jfigqalx2shxrhj7wi2h4konro2q,2026-05-16T21:44:54.486Z,(for now until bpd strikes again),N/A,did:plc:abug3v6yxjeaw7mi3rlc3uk7
